"","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality","rt.sulfur.dioxide"
"2083",7.5,0.33,0.32,11.1,0.036,25,119,0.9962,3.15,0.34,10.5,6,5
"3040",6.3,0.27,0.29,12.2,0.044,59,196,0.99782,3.14,0.4,8.8,6,7.68114574786861
"551",7,0.3,0.51,13.6,0.05,40,168,0.9976,3.07,0.52,9.6,7,6.32455532033676
"745",7.4,0.38,0.27,7.5,0.041,24,160,0.99535,3.17,0.43,10,5,4.89897948556636
"2957",8.1,0.12,0.38,0.9,0.034,36,86,0.99026,2.8,0.55,12,6,6
"901",6.6,0.2,0.38,7.9,0.052,30,145,0.9947,3.32,0.56,11,7,5.47722557505166
"513",7.3,0.26,0.36,5.2,0.04,31,141,0.9931,3.16,0.59,11,6,5.56776436283002
"1151",6.9,0.32,0.17,7.6,0.042,69,219,0.9959,3.13,0.4,8.9,5,8.30662386291807
"3715",8.5,0.18,0.3,1.1,0.028,34,95,0.99272,2.83,0.36,10,4,5.8309518948453
"3349",7.2,0.27,0.28,15.2,0.046,6,41,0.99665,3.17,0.39,10.9,6,2.44948974278318
"2041",6.7,0.3,0.45,10.6,0.032,56,212,0.997,3.22,0.59,9.5,6,7.48331477354788
"75",6.7,0.23,0.31,2.1,0.046,30,96,0.9926,3.33,0.64,10.7,8,5.47722557505166
"2503",8.6,0.34,0.36,1.4,0.045,11,119,0.99556,3.17,0.47,9.4,4,3.3166247903554
"341",7.4,0.2,0.43,7.8,0.045,27,153,0.9964,3.19,0.55,9,7,5.19615242270663
"2450",6.7,0.27,0.26,2.3,0.043,61,181,0.99394,3.45,0.63,10.6,6,7.81024967590665
"226",7.1,0.24,0.41,17.8,0.046,39,145,0.9998,3.32,0.39,8.7,5,6.2449979983984
"1136",6.7,0.25,0.34,12.85,0.048,30,161,0.9986,3.44,0.47,9.5,6,5.47722557505166
"402",6.8,0.37,0.51,11.8,0.044,62,163,0.9976,3.19,0.44,8.8,5,7.87400787401181
"3716",6.5,0.35,0.38,7.4,0.036,20,196,0.99712,3.47,0.48,9.1,6,4.47213595499958
"2435",8.3,0.28,0.27,17.5,0.045,48,253,1.00014,3.02,0.56,9.1,6,6.92820323027551
"4750",6.2,0.35,0.25,18.4,0.051,28,182,0.99946,3.13,0.62,9.3,6,5.29150262212918
"2945",7.1,0.29,0.34,7.8,0.036,49,128,0.99397,3.21,0.4,10.7,6,7
"3960",5.6,0.185,0.19,7.1,0.048,36,110,0.99438,3.26,0.41,9.5,6,6
"2210",7,0.32,0.35,1.5,0.039,24,125,0.9918,3.17,0.64,12.2,6,4.89897948556636
"1190",7.6,0.26,0.47,1.6,0.068,5,55,0.9944,3.1,0.45,9.6,5,2.23606797749979
"1234",7.7,0.39,0.3,5.2,0.037,29,131,0.9943,3.38,0.44,11,6,5.3851648071345
"1501",7.4,0.19,0.49,9.3,0.03,26,132,0.994,2.99,0.32,11,7,5.09901951359278
"1026",6.2,0.15,0.46,1.6,0.039,38,123,0.993,3.38,0.51,9.7,6,6.16441400296898
"234",7.2,0.23,0.38,14.3,0.058,55,194,0.9979,3.09,0.44,9,6,7.41619848709566
"1921",8.1,0.26,0.33,11.1,0.052,52.5,158,0.9976,3.03,0.49,10.2,7,7.24568837309472
"363",6.8,0.15,0.3,5.3,0.05,40,127,0.9942,3.4,0.39,9.7,6,6.32455532033676
"1204",5,0.33,0.16,1.5,0.049,10,97,0.9917,3.48,0.44,10.7,6,3.16227766016838
"1101",6.3,0.27,0.25,5.8,0.038,52,155,0.995,3.28,0.38,9.4,6,7.21110255092798
"1267",7.5,0.28,0.34,4.2,0.028,36,116,0.991,2.99,0.41,12.3,8,6
"3457",6,0.39,0.13,1.2,0.042,60,172,0.99114,3.06,0.52,10.6,5,7.74596669241483
"3416",6.1,0.3,0.3,2.1,0.031,50,163,0.9895,3.39,0.43,12.7,7,7.07106781186548
"2606",7.1,0.2,0.3,0.9,0.019,4,28,0.98931,3.2,0.36,12,6,2
"1672",7,0.35,0.3,6.5,0.028,27,87,0.9936,3.4,0.42,11.4,7,5.19615242270663
"611",6.5,0.36,0.28,3.2,0.037,29,119,0.9908,3.25,0.65,12.4,8,5.3851648071345
"3421",7.6,0.28,0.49,20.15,0.06,30,145,1.00196,3.01,0.44,8.5,5,5.47722557505166
"3353",6.7,0.36,0.28,8.3,0.034,29,81,0.99151,2.96,0.39,12.5,6,5.3851648071345
"1748",8.3,0.3,0.36,10,0.042,33,169,0.9982,3.23,0.51,9.3,6,5.74456264653803
"4131",6.8,0.29,0.32,1.8,0.032,18,130,0.99095,3.05,0.62,11.2,6,4.24264068711928
"4036",6.4,0.2,0.22,7.4,0.032,53,172,0.99404,3.24,0.58,11,6,7.28010988928052
"1398",7.3,0.25,0.36,13.1,0.05,35,200,0.9986,3.04,0.46,8.9,7,5.91607978309962
"1716",6.5,0.18,0.34,1.6,0.04,43,148,0.9912,3.32,0.59,11.5,8,6.557438524302
